Desc	Orthogroup	ChaenocephalusAceratus	ClupeaHarengus	DanioRerio	GasterosteusAculeatus	HarpadonNehereus	HippocampusComes	LepisosteusOculatus	LiparisTanakae	PseudoliparisSwirei	SauridaUndosquamis	TakifuguRubripes
(null)	OG0000096	0	0	0	0	2	0	0	0	1	61	0
(null)	OG0000097	11	4	5	4	8	4	3	9	4	7	4
(null)	OG0000098	9	11	6	5	1	5	2	5	6	1	12
(null)	OG0000099	5	6	7	6	4	7	6	5	7	4	6
(null)	OG0000100	2	10	20	2	6	9	6	0	0	4	4
(null)	OG0000101	0	0	0	0	63	0	0	0	0	0	0
(null)	OG0000102	2	3	24	6	3	1	11	1	2	5	4
(null)	OG0000103	4	8	4	4	12	4	3	1	1	16	5
(null)	OG0000104	8	15	4	6	8	2	1	2	1	6	9
(null)	OG0000105	5	6	6	7	6	5	3	6	2	8	8
(null)	OG0000106	6	6	6	6	6	6	4	5	6	6	5
(null)	OG0000107	6	1	3	5	2	6	1	1	29	6	2
(null)	OG0000108	1	10	12	8	4	0	9	2	4	10	2
(null)	OG0000109	5	4	6	6	7	6	4	6	8	6	3
(null)	OG0000110	10	5	4	7	7	5	1	8	5	6	3
(null)	OG0000111	10	9	19	5	2	0	7	1	1	2	5
(null)	OG0000112	6	2	3	2	37	3	2	0	1	2	3
(null)	OG0000113	0	0	0	0	61	0	0	0	0	0	0
(null)	OG0000114	5	5	6	6	6	6	4	6	5	6	5
(null)	OG0000115	6	6	6	7	5	4	3	5	5	5	7
(null)	OG0000116	12	2	1	0	11	1	8	0	1	18	5
(null)	OG0000117	0	0	0	0	58	0	0	0	0	1	0
(null)	OG0000118	4	5	5	6	9	5	4	4	4	7	5
(null)	OG0000119	1	43	1	1	0	1	8	1	1	1	0
(null)	OG0000120	0	2	0	26	0	7	0	11	9	0	3
(null)	OG0000121	6	5	3	5	7	5	3	8	4	6	5
(null)	OG0000122	9	0	0	4	8	0	0	1	2	30	3
(null)	OG0000123	1	8	0	0	25	0	1	0	0	14	8
(null)	OG0000124	3	3	14	6	4	0	0	0	0	27	0
(null)	OG0000125	5	6	6	5	5	5	4	7	4	5	4
(null)	OG0000126	12	16	4	1	1	6	2	4	3	1	6
(null)	OG0000127	6	6	7	4	5	5	4	2	6	6	5
(null)	OG0000128	37	0	6	5	1	0	0	0	0	6	0
(null)	OG0000129	13	4	9	5	4	0	5	3	6	4	2
(null)	OG0000130	3	4	8	4	3	3	2	10	13	3	2
(null)	OG0000131	7	10	1	1	9	0	1	1	1	24	0
(null)	OG0000132	0	0	55	0	0	0	0	0	0	0	0
(null)	OG0000133	0	0	55	0	0	0	0	0	0	0	0
(null)	OG0000134	0	0	0	0	51	0	0	0	1	3	0
(null)	OG0000135	5	4	4	5	6	6	3	5	6	5	5
(null)	OG0000136	5	6	5	6	5	5	3	3	4	6	6
(null)	OG0000137	4	6	6	5	5	5	3	5	4	7	4
(null)	OG0000138	0	36	0	1	10	0	0	2	1	4	0
(null)	OG0000139	0	6	8	6	1	11	1	12	0	0	9
(null)	OG0000140	0	0	0	0	54	0	0	0	0	0	0
(null)	OG0000141	12	6	3	1	6	3	1	1	0	20	0
(null)	OG0000142	37	2	1	0	5	0	0	0	1	7	0
(null)	OG0000143	7	5	6	5	5	6	2	6	5	4	2
(null)	OG0000144	4	4	6	4	5	5	4	6	5	5	5
(null)	OG0000145	5	5	4	5	5	5	3	5	5	5	6
(null)	OG0000146	2	5	4	5	6	6	3	5	5	6	6
(null)	OG0000147	4	6	6	6	3	6	2	3	6	6	5
(null)	OG0000148	6	5	6	4	6	3	2	5	4	7	5
(null)	OG0000149	0	12	8	1	5	0	9	3	1	6	8
(null)	OG0000150	0	0	0	0	51	0	0	0	0	2	0
(null)	OG0000151	34	3	0	0	2	4	5	1	0	3	0
(null)	OG0000152	4	5	4	5	5	5	3	4	5	6	6
(null)	OG0000153	5	5	6	5	5	5	3	5	4	5	4
(null)	OG0000154	5	5	5	5	5	5	3	3	6	5	5
(null)	OG0000155	4	6	4	5	6	5	3	4	5	5	5
(null)	OG0000156	1	32	8	1	2	2	3	1	0	2	0
(null)	OG0000157	4	4	4	7	4	6	3	4	6	5	5
(null)	OG0000158	5	6	5	6	7	2	3	7	5	6	0
(null)	OG0000159	39	0	0	1	0	2	0	3	2	0	4
(null)	OG0000160	18	2	1	1	7	8	0	4	3	7	0
(null)	OG0000161	6	9	13	3	3	5	2	3	3	3	1
(null)	OG0000162	2	15	0	5	5	1	2	0	0	13	8
(null)	OG0000163	9	4	11	2	3	1	5	3	4	7	2
(null)	OG0000164	4	3	6	6	5	5	4	4	5	6	3
(null)	OG0000165	5	5	4	4	6	6	4	6	2	4	5
(null)	OG0000166	4	5	5	5	6	4	4	3	3	9	3
