0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-1.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-10.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-2.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-3.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-4.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-5.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-6.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-7.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-8.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-9.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-1.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-10.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-2.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-3.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-4.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-5.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-7.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-8.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/WZ/WZ-9.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-1.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-10.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-2.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-3.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-4.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-5.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-6.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-7.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-8.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/YJ/YJ-9.bam	0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/test/QD-1.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-1.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-10.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-2.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-3.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-4.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-5.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-6.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-7.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-8.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/LYG-9.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LYG/QD-2.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-1.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-10.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-2.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-3.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-4.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-5.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-6.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-7.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-8.bam	0_/public3/group_crf/home/wanglinlong8405/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/ZS/ZS-9.bam
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-1.bam	0.556644960870805	0.036160761178843	0.0397980282639001	0.0274957448932608	0.0268495241706109	0.0262205691615169	0.0344715085235987	0.0360609712116795	0.0338186159033019	0.0279028706218577	0.0297388504466521	0.030571094511929	0.0304573951552062	0.0368222171427163	0.0286321025565911	0.0291418341172487	0.0140204263434529	0.0268761038928985	0.0311011804852364	0.032974803754807	0.0340253401674881	0.0310577935597336	0.0305270277500662	0.0297219502057915	0.0312374294390899	0.0327298318496567	0.0142499982034046	0.0340607042691843	0.0292251137895964	0.0363468163137944	0.0335060303649491	0.0316579372995961	0.0312802663493715	0.0256963982683284	0.0323723533809247	0.0311664843742697	0.0314721716946754	0.0324408802734838	0.0322546223616949	0.0256172064289929	0.0755372659190273	0.0265882163379729	0.0281247757819716	0.0319269060618922	0.0302023890653811	0.0246192613846714	0.0358728881576335	0.0281042520621536	0.0289293919423713	0.0369234591813179	0.0355488708375233
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-10.bam	0.036160761178843	0.592267539783693	0.0374990007044377	0.0298141944491808	0.0294124690000593	0.0233487149647198	0.0379586839147739	0.0357255763581069	0.0357141318080691	0.0290953316953848	0.0328894813112353	0.0363914237305574	0.0312411761135636	0.0387744766275598	0.030047631151052	0.0274652382458892	0.0170183221623592	0.0284765914961894	0.0357893400959877	0.0385656126907974	0.0346241808522147	0.0273680476380441	0.0309496835803363	0.0301391924623665	0.0347503689605251	0.0362192327970512	0.0154196888911422	0.038078184345567	0.0344150181747266	0.0396995223455378	0.0349623285201554	0.0250279753175777	0.0372230518607802	0.0336698591712691	0.0393030735519183	0.0315927340864061	0.0272671688874808	0.0359355289140805	0.0303907804415096	0.0280210097750248	0.07896234024397	0.0282607413188681	0.0361217666525716	0.0333213726922416	0.0301254853172549	0.0322324994946801	0.0402623216256899	0.034267437356023	0.0330202419101588	0.0416938750940264	0.0371230270838334
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-2.bam	0.0397980282639001	0.0374990007044377	0.533935356573093	0.0289859649995919	0.0259532770436799	0.0224337792978543	0.0407947158367239	0.0368275959442419	0.0351611779519316	0.0277518916989464	0.0344892694329169	0.0348828378805286	0.0297359832570521	0.0331832007169877	0.0306959388051758	0.0288352688440018	0.0174636546594169	0.0267900378010848	0.0334283113193439	0.0350928909667609	0.0359438464595484	0.0332564679687617	0.0302484582962744	0.0323645297062433	0.034464024634424	0.0332305643954021	0.017548266458262	0.0366562859025273	0.0356830044805707	0.0424032141414995	0.0329165525116804	0.0303825657941195	0.0361924266900812	0.0308935288348822	0.0397649610691404	0.0296080419955332	0.0311286866236216	0.0361012464853641	0.0302006143737491	0.0226044582531751	0.0835841080258158	0.0269961446356715	0.0294657879790802	0.0353329857506788	0.0321188477891471	0.0311626355125577	0.0322608536461764	0.0323903522447029	0.0314514984118359	0.0416213417297979	0.0332926964160063
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-3.bam	0.0274957448932608	0.0298141944491808	0.0289859649995919	0.58274574865195	0.0241804613027576	0.0159137191145542	0.0281638382897377	0.027071983991906	0.026611115849105	0.019447751456051	0.0283298310062073	0.0240046575708295	0.0223442093415079	0.0273367198268104	0.0184893418844907	0.018556048728481	0.00574461093122391	0.0201108492447627	0.0237004036673236	0.0307089310383502	0.0309385164030272	0.0271627610554954	0.0248265192001864	0.0254196398548417	0.0275396083303083	0.0282209516485099	0.00682665749978062	0.0258242555229108	0.0247340920622008	0.0300919312510346	0.0269370277852704	0.022493963624345	0.0247537730243813	0.0199289631353778	0.0268803055256707	0.0216137895059575	0.0220977697115377	0.025509046291707	0.0247677623172443	0.0179284515655794	0.06773537938535	0.0195859673192688	0.0247670298335299	0.0251824276624182	0.0231739077018935	0.0221952724663826	0.0271352376824782	0.0212371930486978	0.0234193194387362	0.030422924997233	0.0305006517418427
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-4.bam	0.0268495241706109	0.0294124690000593	0.0259532770436799	0.0241804613027576	0.580714999405117	0.0214297971350343	0.0267689453771424	0.032452283089777	0.0299078592680728	0.0259428221327594	0.0269131671243747	0.0244703532143634	0.0269007687683738	0.0270337898943757	0.0249734643212005	0.022534885644503	0.00861076089169222	0.0212763192826091	0.0245016418407872	0.0354248043333585	0.0328731783788675	0.0267971627801044	0.0245448639201379	0.0281460041933618	0.0273907295032192	0.0305037741997245	0.0103768370570388	0.02771865732121	0.0249224229813518	0.0325970949678861	0.0303032027558895	0.0194280167846561	0.0265017042571254	0.0187250146186581	0.025951806922046	0.0241874551582624	0.0225031075933995	0.0300398417751999	0.0253714269283206	0.0204576146881755	0.0726040316692689	0.0178956769799875	0.0282449943932767	0.0257261123884533	0.0255186298769097	0.0222350204594244	0.0286912015383594	0.0250792959060409	0.0237533232808584	0.0352897711386734	0.0247733902757276
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-5.bam	0.0262205691615169	0.0233487149647198	0.0224337792978543	0.0159137191145542	0.0214297971350343	0.565517376935967	0.0312276857146666	0.0267453828266684	0.0231369604522089	0.0162977166020213	0.0259156677850869	0.0198746377096508	0.0217054114535614	0.0223650138177428	0.0195808050376746	0.0180023559354278	0.00644883138251595	0.0207810981455021	0.0265826341164302	0.0226682352731222	0.026952055832788	0.0188656548870551	0.0213229464623659	0.0199975774595111	0.0213293177388735	0.0234708189107347	0.00474237822958401	0.0259761364974215	0.0217848455603541	0.0289611336629094	0.0236010782888261	0.020218665163921	0.0200063948919253	0.0178993836543511	0.0260370799252767	0.0142214896911573	0.0159427460687246	0.023980495872527	0.0244240903968389	0.0122531779514053	0.0640478984933169	0.0198376579376609	0.0225195849867518	0.022237010942794	0.0203292894714369	0.019865919257277	0.0279691959685425	0.0164224600185674	0.0215604590780983	0.025130346112341	0.0229194642015538
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-6.bam	0.0344715085235987	0.0379586839147739	0.0407947158367239	0.0281638382897377	0.0267689453771424	0.0312276857146666	0.581999729465553	0.0375360028326118	0.0387093593445879	0.0263011524825785	0.0312913563265622	0.0339986508439308	0.0339140237529215	0.0355623038933189	0.0297998257519992	0.0247521318815508	0.0142777309893826	0.0281479512817044	0.0360351811072345	0.0348584489840524	0.0350379980768796	0.0311957880740543	0.0292589974194712	0.032416180316073	0.0360462864280474	0.0302837051990705	0.0173741469199644	0.0370729811933691	0.0309331865260712	0.040995641567338	0.033794301437192	0.0256689720700793	0.0338089145272021	0.029512580407655	0.0394934066428587	0.0343179915914438	0.0295473238104261	0.0425190917017438	0.0308509328338175	0.0283078523981439	0.0790537198650448	0.0291604491619156	0.0297241291337118	0.0313797061457366	0.0321428528048253	0.0371835386834148	0.035003130985784	0.0318947199605023	0.0321519148464755	0.0357856499079786	0.0347936974261821
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-7.bam	0.0360609712116795	0.0357255763581069	0.0368275959442419	0.027071983991906	0.032452283089777	0.0267453828266684	0.0375360028326118	0.545195480981086	0.0377259035017163	0.0315779701154795	0.0331809239502927	0.0346763864246639	0.0334083538628503	0.0331566066783314	0.0264328072273888	0.0289182474899921	0.0169723111056361	0.0291378214615782	0.03184245911221	0.0368086841253645	0.0347086907262719	0.0330890724806364	0.0308923428112297	0.0299173751193896	0.0360289519415761	0.0325102551201596	0.0143002989465089	0.0330489587116458	0.0337866511923363	0.0446370757159	0.0360209380086349	0.0262705027820529	0.0344061109751781	0.0270057272562289	0.0383352646547847	0.0301156188803481	0.0730566998548093	0.0368287448928277	0.0330900482771717	0.0289305281940553	0.0804977485302784	0.03154911504772	0.0351622256244177	0.0332733579322712	0.0315188441027768	0.0325996935395956	0.0368486785352738	0.0312973688516629	0.0310121165516052	0.0408260981713694	0.035630456067688
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-8.bam	0.0338186159033019	0.0357141318080691	0.0351611779519316	0.026611115849105	0.0299078592680728	0.0231369604522089	0.0387093593445879	0.0377259035017163	0.593640482779874	0.028597428127443	0.0271767516473326	0.0309614476311345	0.0324192184263029	0.0304190870830602	0.0292339814299409	0.0296528566351741	0.0172443913110429	0.0270766835332868	0.0319792347667621	0.0360025988150297	0.0359988276481543	0.0327621948674507	0.0311769702801616	0.0311922824734527	0.0351167717359934	0.0336650314277955	0.01435924881107	0.037449601745852	0.0275273120544648	0.0394194911228418	0.0353836762372454	0.0249869986431414	0.029640506448007	0.0308623008887553	0.0362481648466524	0.0323588650649325	0.0298468808158669	0.0342383400852255	0.030884780542292	0.0227840568325568	0.0779289439998389	0.0260620966619873	0.03010559798924	0.0337181753817246	0.0325127528576085	0.0277360929851178	0.0369709905803349	0.0300784098471424	0.0289891645866593	0.0365586994765766	0.033544112190064
0_/data/projects/lwang/genome/lty_genome/resequencing/01.SNP_calling/02.mapping/LG/LG-9.bam	0.0279028706218577	0.0290953316953848	0.0277518916989464	0.019447751456051	0.0259428221327594	0.0162977166020213	0.0263011524825785	0.0315779701154795	0.028597428127443	0.573298933747937	0.0240519350820317	0.0222291254363036	0.0206951477276882	0.0280823281822147	0.0173604869563683	0.0204440547292788	0.0107467201689945	0.0185536163420161	0.0302610044334358	0.0295429118403119	0.0252834792171357	0.0247180534218471	0.0246038050675615	0.0225175315522701	0.0263090839047675	0.0299047834395225	0.00764543954175811	0.027062606331366	0.0268984981278444	0.0320424324689873	0.0283594531605704	0.0224269968437989	0.0268967303492638	0.021927726822719	0.0362887533155946	0.0261309859181417	0.0193681247116902	0.0236937582958864	0.0261815668699087	0.0170128202220998	0.0688919369956998	0.020598602791011	0.0248022210293971	0.0242166058606142	0.0258231036655336	0.021922305845721	0.0273546165186297	0.0215740801429923	0.023402905070948	0.0293328134417343	0.0267923314971767
